ACTIVE,FirstName,LastName,Subcode,Email,Password,ACCOUNT USED,Event Date,Event Name,Prof Name,Prof Email,936445
Yes,Cert,Student,usjixtedkigyus,certstudent+1@tophat.com,tophat1,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+2@tophat.com,tophat2,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+3@tophat.com,tophat3,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+4@tophat.com,tophat4,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+5@tophat.com,tophat5,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+6@tophat.com,tophat6,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+7@tophat.com,tophat7,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+8@tophat.com,tophat8,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+9@tophat.com,tophat9,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+10@tophat.com,tophat10,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+11@tophat.com,tophat11,yes,3/16/2018,UNR Certification,,,
yes,Cert,Student,usjixtedkigyus,certstudent+12@tophat.com,tophat12,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+13@tophat.com,tophat13,yes,3/16/2018,UNR Certification,,,
Yes,Cert,Student,usjixtedkigyus,certstudent+14@tophat.com,tophat14,yes,1/17/2018,Liberty Certification,Cory Anderson,,
Yes,Cert,Student,usjixtedkigyus,certstudent+15@tophat.com,tophat15,yes,1/17/2018,Liberty Certification,Donna Donald,,
Yes,Cert,Student,usjixtedkigyus,certstudent+16@tophat.com,tophat16,yes,1/17/2018,Liberty Certification,Bailey Anderson,,
Yes,Cert,Student,usjixtedkigyus,certstudent+17@tophat.com,tophat17,yes,1/17/2018,Liberty Certification,Kyle Hammersmith,,
Yes,Cert,Student,usjixtedkigyus,certstudent+18@tophat.com,tophat18,yes,1/17/2018,Liberty Certification,Janet Brown,,
Yes,Cert,Student,usjixtedkigyus,certstudent+19@tophat.com,tophat19,yes,1/17/2018,Liberty Certification,Lew Weider,,
yes,Cert,Student,usjixtedkigyus,certstudent+20@tophat.com,tophat20,yes,1/17/2018,Liberty Certification,Matthew Bovard,,
yes,Cert,Student,usjixtedkigyus,certstudent+21@tophat.com,tophat21,yes,1/17/2018,Liberty Certification,Chris Hulshof,,
yes,Cert,Student,usjixtedkigyus,certstudent+22@tophat.com,tophat22,yes,1/17/2018,Liberty Certification,Nancy Richardson,,
yes,Cert,Student,usjixtedkigyus,certstudent+23@tophat.com,tophat23,yes,1/17/2018,Liberty Certification,Chris Huseman,,
yes,Cert,Student,usjixtedkigyus,certstudent+24@tophat.com,tophat24,yes,1/17/2018,Liberty Certification,Sean Best,,
yes,Cert,Student,usjixtedkigyus,certstudent+25@tophat.com,tophat25,yes,1/17/2018,Liberty Certification,AAron Malbuff,,
yes,Cert,Student,usjixtedkigyus,certstudent+26@tophat.com,tophat26,yes,1/17/2018,Liberty Certification,Carolyn Ziebart,,
yes,Cert,Student,usjixtedkigyus,certstudent+27@tophat.com,tophat27,yes,1/17/2018,Liberty Certification,Wesley Nottingham,,
yes,Cert,Student,usjixtedkigyus,certstudent+28@tophat.com,tophat28,yes,1/17/2018,Liberty Certification,James Shoemaker,,
yes,Cert,Student,usjixtedkigyus,certstudent+29@tophat.com,tophat29,yes,1/17/2018,Liberty Certification,Roger mackey,,
Yes,Cert,Student,usjixtedkigyus,certstudent+30@tophat.com,tophat30,yes,1/17/2018,Liberty Certification,mary grayson,,
Yes,Cert,Student,usjixtedkigyus,certstudent+31@tophat.com,tophat31,yes,1/17/2018,Liberty Certification,Susan Crabtree,,
Yes,Cert,Student,usjixtedkigyus,certstudent+32@tophat.com,tophat32,yes,1/17/2018,Liberty Certification,doug taylor,,
Yes,Cert,Student,usjixtedkigyus,certstudent+33@tophat.com,tophat33,yes,1/17/2018,Liberty Certification,Carl Pettiford,,
Yes,Cert,Student,usjixtedkigyus,certstudent+34@tophat.com,tophat34,yes,1/17/2018,Liberty Certification,Terri Sipantzi,,
Yes,Cert,Student,usjixtedkigyus,certstudent+35@tophat.com,tophat35,yes,1/17/2018,Liberty Certification,Seth Pryor,,
Yes,Cert,Student,usjixtedkigyus,certstudent+36@tophat.com,tophat36,yes,1/17/2018,Liberty Certification,Robert talley,,
Yes,Cert,Student,usjixtedkigyus,certstudent+37@tophat.com,tophat37,yes,1/17/2018,Liberty Certification,Jordan BGallard,,
Yes,Cert,Student,usjixtedkigyus,certstudent+38@tophat.com,tophat38,yes,1/17/2018,Liberty Certification,Fitzroy Gordon,,
Yes,Cert,Student,usjixtedkigyus,certstudent+39@tophat.com,tophat39,yes,1/17/2018,Liberty Certification,Daniel Sloan,,
Yes,Cert,Student,usjixtedkigyus,certstudent+40@tophat.com,tophat40,yes,1/17/2018,Liberty Certification,Hunter List,,
Yes,Cert,Student,usjixtedkigyus,certstudent+41@tophat.com,tophat41,yes,1/17/2018,Liberty Certification,Michael Obanla,,
Yes,Cert,Student,usjixtedkigyus,certstudent+42@tophat.com,tophat42,yes,1/17/2018,Liberty Certification,Ricxhard Garmim,,
Yes,Cert,Student,usjixtedkigyus,certstudent+43@tophat.com,tophat43,yes,1/17/2018,Liberty Certification,Bethany Wiskow,,
Yes,Cert,Student,usjixtedkigyus,certstudent+44@tophat.com,tophat44,yes,1/17/2018,Liberty Certification,Chirin Nkoula,,
Yes,Cert,Student,usjixtedkigyus,certstudent+45@tophat.com,tophat45,yes,1/17/2018,Liberty Certification,Austin Beal,,
